,season,team,name,role,age,batting,bowling
58,2019/2020,Lahore Qalandars,David Wiese,Allrounder,34y 202d,Right hand Bat,Right arm Medium fast
59,2019/2020,Lahore Qalandars,Lendl Simmons,Top order Batter,34y 315d,Right hand Bat,Right arm Medium fast
60,2019/2020,Peshawar Zalmi,Wahab Riaz(c),Bowler,34y 161d,Right hand Bat,Left arm Fast
61,2019/2020,Peshawar Zalmi,Aamir Ali,,17y 215d,Left hand Bat,Slow Left arm Orthodox
62,2019/2020,Peshawar Zalmi,Adil Amin,,28y 358d,Right hand Bat,Right arm Offbreak
63,2019/2020,Peshawar Zalmi,Tom Banton,Opening Batter,21y 25d,Right hand Bat,
64,2019/2020,Peshawar Zalmi,Carlos Brathwaite,Allrounder,31y 141d,Right hand Bat,Right arm Fast medium
65,2019/2020,Peshawar Zalmi,Liam Dawson,Allrounder,29y 280d,Right hand Bat,Slow Left arm Orthodox
66,2019/2020,Peshawar Zalmi,Faf du Plessis,Middle order Batter,35y 146d,Right hand Bat,Legbreak
67,2019/2020,Peshawar Zalmi,Lewis Gregory,Allrounder,27y 196d,Right hand Bat,Right arm Medium fast
68,2019/2020,Peshawar Zalmi,Haider Ali,Middle order Batter,19y 65d,Right hand Bat,
69,2019/2020,Peshawar Zalmi,Hasan Ali,Bowler,25y 157d,Right hand Bat,Right arm Medium fast
70,2019/2020,Peshawar Zalmi,Imam-ul-Haq,Top order Batter,23y 349d,Left hand Bat,
71,2019/2020,Peshawar Zalmi,Kamran Akmal†,Wicketkeeper Batter,37y 327d,Right hand Bat,
72,2019/2020,Peshawar Zalmi,Khurram Shahzad,Bowler,20y 11d,Right hand Bat,Right arm Medium
73,2019/2020,Peshawar Zalmi,Liam Livingstone,Batting Allrounder,26y 124d,Right hand Bat,Legbreak
74,2019/2020,Peshawar Zalmi,Saqib Mahmood,Bowler,22y 284d,Right hand Bat,Right arm Fast medium
75,2019/2020,Peshawar Zalmi,Mohammad Mohsin,Bowling Allrounder,23y 235d,Left hand Bat,Legbreak Googly
76,2019/2020,Peshawar Zalmi,Rahat Ali,Bowler,31y 85d,Right hand Bat,Left arm Fast medium
77,2019/2020,Peshawar Zalmi,Shoaib Malik,Allrounder,37y 308d,Right hand Bat,Right arm Offbreak
78,2019/2020,Peshawar Zalmi,Sohaib Maqsood,Middle order Batter,32y 235d,Right hand Bat,Right arm Offbreak
79,2019/2020,Peshawar Zalmi,Umar Amin,Top order Batter,30y 51d,Left hand Bat,Right arm Medium
80,2019/2020,Peshawar Zalmi,Hardus Viljoen,Bowler,30y 275d,Right hand Bat,Right arm Fast
81,2019/2020,Peshawar Zalmi,Mohammad Amir Khan,Bowler,18y 88d,Right hand Bat,Right arm Medium
82,2019/2020,Peshawar Zalmi,Kieron Pollard,Batting Allrounder,32y 208d,Right hand Bat,Right arm Medium
83,2019/2020,Peshawar Zalmi,Dwaine Pretorius,Bowling Allrounder,30y 252d,Right hand Bat,Right arm Medium fast
84,2019/2020,Peshawar Zalmi,Daren Sammy,Allrounder,35y 351d,Right hand Bat,Right arm Medium
85,2019/2020,Quetta Gladiators,Sarfaraz Ahmed† (c),Wicketkeeper Batter,32y 198d,Right hand Bat,Right arm Offbreak
86,2019/2020,Quetta Gladiators,Shane Watson(vc),Allrounder,38y 172d,Right hand Bat,Right arm Fast medium
87,2019/2020,Quetta Gladiators,Abdul Nasir,Allrounder,20y 346d,Right hand Bat,Right arm Offbreak
88,2019/2020,Quetta Gladiators,Ahmed Shehzad,Opening Batter,28y 13d,Right hand Bat,Legbreak
89,2019/2020,Quetta Gladiators,Ahsan Ali,Top order Batter,25y 361d,Right hand Bat,Legbreak
90,2019/2020,Quetta Gladiators,Arish Ali Khan,Bowler,18y 351d,Right hand Bat,Slow Left arm Orthodox
91,2019/2020,Quetta Gladiators,Azam Khan†,Wicketkeeper,21y 118d,Right hand Bat,
92,2019/2020,Quetta Gladiators,Ben Cutting,Allrounder,32y 310d,Right hand Bat,Right arm Fast medium
93,2019/2020,Quetta Gladiators,Fawad Ahmed,Bowler,37y 304d,Right hand Bat,Legbreak Googly
94,2019/2020,Quetta Gladiators,Khurram Manzoor,Opening Batter,33y 179d,Right hand Bat,Right arm Offbreak
95,2019/2020,Quetta Gladiators,Tymal Mills,Bowler,27y 116d,Right hand Bat,Left arm Fast
96,2019/2020,Quetta Gladiators,Mohammad Hasnain,Bowler,19y 245d,Right hand Bat,Right arm Fast
97,2019/2020,Quetta Gladiators,Mohammad Nawaz,Allrounder,25y 260d,Left hand Bat,Slow Left arm Orthodox
98,2019/2020,Quetta Gladiators,Naseem Shah,Bowler,16y 294d,Right hand Bat,Right arm Fast
99,2019/2020,Quetta Gladiators,Keemo Paul,Allrounder,21y 288d,Right hand Bat,Right arm Fast medium
100,2019/2020,Quetta Gladiators,Jason Roy,Opening Batter,29y 138d,Right hand Bat,
101,2019/2020,Quetta Gladiators,Sohail Khan,Bowler,35y 275d,Right hand Bat,Right arm Fast medium
102,2019/2020,Quetta Gladiators,Umar Akmal,Middle order Batter,29y 194d,Right hand Bat,Right arm Offbreak
103,2019/2020,Multan Sultans,Shan Masood(c),Opening Batter,30y 53d,Left hand Bat,Right arm Medium fast
104,2019/2020,Multan Sultans,Moeen Ali,Batting Allrounder,32y 171d,Left hand Bat,Right arm Offbreak
105,2019/2020,Multan Sultans,Ali Shafique,Bowler,23y 20d,Right hand Bat,Right arm Medium
106,2019/2020,Multan Sultans,Fabian Allen,Bowling Allrounder,24y 213d,Right hand Bat,Slow Left arm Orthodox
107,2019/2020,Multan Sultans,Bilawal Bhatti,Bowler,28y 80d,Right hand Bat,Right arm Medium fast
108,2019/2020,Multan Sultans,Ravi Bopara,Batting Allrounder,34y 216d,Right hand Bat,Right arm Medium
109,2019/2020,Multan Sultans,Joe Denly,Top order Batter,33y 265d,Right hand Bat,Legbreak
110,2019/2020,Multan Sultans,Imran Tahir,Bowler,40y 254d,Right hand Bat,Legbreak Googly
111,2019/2020,Multan Sultans,Junaid Khan,Bowler,29y 347d,Right hand Bat,Left arm Fast
112,2019/2020,Multan Sultans,Khushdil Shah,Middle order Batter,24y 302d,Left hand Bat,Slow Left arm Orthodox
113,2019/2020,Multan Sultans,Adam Lyth,Batter,32y 72d,Left hand Bat,Right arm Offbreak
114,2019/2020,Multan Sultans,Wayne Madsen,Batter,35y 338d,Right hand Bat,Right arm Offbreak
115,2019/2020,Multan Sultans,Mohammad Ilyas,Bowler,20y 260d,Right hand Bat,Right arm Medium fast
116,2019/2020,Multan Sultans,Mohammad Irfan,Bowler,37y 183d,Right hand Bat,Left arm Fast
117,2019/2020,Multan Sultans,Rohail Nazir†,Wicketkeeper Batter,18y 57d,Right hand Bat,
118,2019/2020,Multan Sultans,Rilee Rossouw,Top order Batter,30y 58d,Left hand Bat,Right arm Offbreak
119,2019/2020,Multan Sultans,Shahid Afridi,Allrounder,39y 280d,Right hand Bat,Legbreak Googly
120,2019/2020,Multan Sultans,Sohail Tanvir,Bowler,34y 359d,Left hand Bat,Left arm Medium fast
121,2019/2020,Multan Sultans,Brendan Taylor†,Wicketkeeper Batter,33y 303d,Right hand Bat,Right arm Offbreak
122,2019/2020,Multan Sultans,Usman Qadir,Bowler,26y 118d,Left hand Bat,Legbreak
123,2019/2020,Multan Sultans,Zeeshan Ashraf†,Wicketkeeper Batter,27y 209d,Left hand Bat,Right arm Offbreak
124,2019/2020,Multan Sultans,James Vince,Batter,28y 267d,Right hand Bat,Right arm Medium
0,2020/2021,Islamabad United,Shadab Khan(c),Allrounder,22y 98d,Right hand Bat,Legbreak
1,2020/2021,Islamabad United,Ahmed Safi Abdullah,Bowling Allrounder,22y 315d,Left hand Bat,Slow Left arm Orthodox
2,2020/2021,Islamabad United,Akif Javed,Bowler,20y 92d,Right hand Bat,Left arm Medium fast
3,2020/2021,Islamabad United,Ali Khan,Bowler,30y 28d,Right hand Bat,Right arm Fast medium
4,2020/2021,Islamabad United,Asif Ali,Middle order Batter,29y 101d,Right hand Bat,Right arm Offbreak
5,2020/2021,Islamabad United,Faheem Ashraf,Bowling Allrounder,26y 360d,Left hand Bat,Right arm Medium
6,2020/2021,Islamabad United,Fawad Ahmed,Bowler,38y 340d,Right hand Bat,Legbreak Googly
7,2020/2021,Islamabad United,Hussain Talat,Allrounder,24y 333d,Left hand Bat,Right arm Medium fast
8,2020/2021,Islamabad United,Iftikhar Ahmed,Middle order Batter,30y 129d,Right hand Bat,Right arm Offbreak
9,2020/2021,Islamabad United,Usman Khawaja,Top order Batter,34y 23d,Left hand Bat,Right arm Medium
10,2020/2021,Islamabad United,Brandon King,Top order Batter,26y 25d,Right hand Bat,
11,2020/2021,Islamabad United,Mohammad Wasim,Allrounder,19y 138d,Right hand Bat,Right arm Fast medium
12,2020/2021,Islamabad United,Muhammad Akhlaq†,Wicketkeeper Batter,28y 59d,Right hand Bat,Right arm Medium fast
13,2020/2021,Islamabad United,Muhammad Musa,Bowler,20y 135d,Right hand Bat,Right arm Fast medium
14,2020/2021,Islamabad United,Colin Munro,Opening Batter,33y 305d,Left hand Bat,Right arm Medium fast
15,2020/2021,Islamabad United,Rohail Nazir†,Wicketkeeper Batter,19y 92d,Right hand Bat,
16,2020/2021,Islamabad United,Umar Amin,Top order Batter,31y 86d,Left hand Bat,Right arm Medium
17,2020/2021,Islamabad United,Zafar Gohar,Bowler,25y 344d,Left hand Bat,Slow Left arm Orthodox
18,2020/2021,Islamabad United,Zeeshan Zameer,Bowling Allrounder,18y 153d,Right hand Bat,Right arm Fast medium
19,2020/2021,Islamabad United,Lewis Gregory,Allrounder,28y 231d,Right hand Bat,Right arm Medium fast
20,2020/2021,Islamabad United,Alex Hales,Opening Batter,32y 7d,Right hand Bat,Right arm Medium
21,2020/2021,Islamabad United,Hasan Ali,Bowler,26y 192d,Right hand Bat,Right arm Medium fast
22,2020/2021,Islamabad United,Chris Jordan,Bowler,32y 98d,Right hand Bat,Right arm Fast medium
23,2020/2021,Islamabad United,Janneman Malan,Top order Batter,24y 267d,Right hand Bat,Legbreak
24,2020/2021,Islamabad United,Phil Salt†,Wicketkeeper Batter,24y 135d,Right hand Bat,Right arm Offbreak
25,2020/2021,Islamabad United,Paul Stirling,Batting Allrounder,30y 129d,Right hand Bat,Right arm Offbreak
26,2020/2021,Islamabad United,Reece Topley,Bowler,26y 324d,Right hand Bat,Left arm Fast medium
27,2020/2021,Karachi Kings,Imad Wasim(c),Allrounder,32y 23d,Left hand Bat,Slow Left arm Orthodox
28,2020/2021,Karachi Kings,Babar Azam(vc),Batter,26y 87d,Right hand Bat,Right arm Offbreak
29,2020/2021,Karachi Kings,Aamer Yamin,Allrounder,30y 198d,Right hand Bat,Right arm Medium
30,2020/2021,Karachi Kings,Abbas Afridi,Bowler,19y 280d,Right hand Bat,Right arm Medium fast
31,2020/2021,Karachi Kings,Arshad Iqbal,Bowler,20y 15d,Right hand Bat,Right arm Medium fast
32,2020/2021,Karachi Kings,Danish Aziz,Allrounder,25y 51d,Left hand Bat,Slow Left arm Orthodox
33,2020/2021,Karachi Kings,Martin Guptill,Opening Batter,34y 102d,Right hand Bat,Right arm Offbreak
34,2020/2021,Karachi Kings,Mohammad Amir,Bowler,28y 272d,Left hand Bat,Left arm Fast medium
35,2020/2021,Karachi Kings,Mohammad Haris,Middle order Batter,19y 286d,Right hand Bat,Right arm Offbreak
36,2020/2021,Karachi Kings,Mohammad Ilyas,Bowler,21y 295d,Right hand Bat,Right arm Medium fast
37,2020/2021,Karachi Kings,Najibullah Zadran,Middle order Batter,27y 317d,Left hand Bat,Right arm Offbreak
38,2020/2021,Karachi Kings,Noor Ahmad,Bowler,16y 7d,Right hand Bat,Left arm Wrist spin
39,2020/2021,Karachi Kings,Thisara Perera,Bowling Allrounder,31y 282d,Left hand Bat,Right arm Medium fast
40,2020/2021,Karachi Kings,Qasim Akram,Allrounder,18y 40d,Right hand Bat,Right arm Offbreak
41,2020/2021,Karachi Kings,Sharjeel Khan,Opening Batter,31y 149d,Left hand Bat,Legbreak
42,2020/2021,Karachi Kings,Chadwick Walton,Top order Batter,35y 191d,Right hand Bat,
43,2020/2021,Karachi Kings,Waqas Maqsood,Bowler,33y 67d,Left hand Bat,Left arm Fast medium
44,2020/2021,Karachi Kings,Zeeshan Malik,Opening Batter,24y 15d,Right hand Bat,Right arm Offbreak
45,2020/2021,Karachi Kings,Dan Christian,Allrounder,37y 251d,Right hand Bat,Right arm Fast medium
46,2020/2021,Karachi Kings,Joe Clarke,Top order Batter,24y 229d,Right hand Bat,
47,2020/2021,Karachi Kings,Colin Ingram,Top order Batter,35y 191d,Left hand Bat,Legbreak
48,2020/2021,Karachi Kings,Litton Das†,Wicketkeeper Batter,26y 89d,Right hand Bat,Right arm Offbreak
49,2020/2021,Karachi Kings,Mohammad Nabi,Allrounder,36y 9d,Right hand Bat,Right arm Offbreak
50,2020/2021,Lahore Qalandars,Sohail Akhtar(c),Allrounder,34y 314d,Right hand Bat,Right arm Medium
51,2020/2021,Lahore Qalandars,Shaheen Shah Afridi(vc),Bowler,20y 279d,Left hand Bat,Left arm Fast
52,2020/2021,Lahore Qalandars,Agha Salman,Allrounder,27y 48d,Right hand Bat,Right arm Offbreak
53,2020/2021,Lahore Qalandars,Ahmed Daniyal,Bowler,23y 191d,Right hand Bat,Right arm Medium fast
54,2020/2021,Lahore Qalandars,Tim David,Middle order Batter,24y 300d,Right hand Bat,Right arm Offbreak
55,2020/2021,Lahore Qalandars,Dilbar Hussain,Bowler,27y 325d,Right hand Bat,Right arm Fast medium
56,2020/2021,Lahore Qalandars,Ben Dunk†,Wicketkeeper Batter,33y 305d,Left hand Bat,Right arm Offbreak
57,2020/2021,Lahore Qalandars,Fakhar Zaman,Opening Batter,30y 275d,Left hand Bat,Slow Left arm Orthodox
58,2020/2021,Lahore Qalandars,James Faulkner,Bowling Allrounder,30y 256d,Right hand Bat,Left arm Fast medium
59,2020/2021,Lahore Qalandars,Callum Ferguson,Middle order Batter,36y 50d,Right hand Bat,Right arm Medium
60,2020/2021,Lahore Qalandars,Haris Rauf,Bowler,27y 64d,Right hand Bat,Right arm Fast
61,2020/2021,Lahore Qalandars,Maaz Khan,Bowler,22y 332d,Right hand Bat,Legbreak Googly
62,2020/2021,Lahore Qalandars,Mohammad Hafeez,Allrounder,40y 85d,Right hand Bat,Right arm Offbreak
63,2020/2021,Lahore Qalandars,Muhammad Faizan,Batter,23y 248d,Right hand Bat,Right arm Medium fast
64,2020/2021,Lahore Qalandars,Muhammad Zaid,Batter,21y 17d,Right hand Bat,Right arm Medium fast
65,2020/2021,Lahore Qalandars,Seekkuge Prasanna,Allrounder,35y 197d,Right hand Bat,Legbreak
66,2020/2021,Lahore Qalandars,Rashid Khan,Bowling Allrounder,22y 112d,Right hand Bat,Legbreak Googly
67,2020/2021,Lahore Qalandars,Sultan Ahmed,Bowler,31y 91d,Left hand Bat,Slow Left arm Orthodox
68,2020/2021,Lahore Qalandars,Zeeshan Ashraf†,Wicketkeeper Batter,28y 244d,Left hand Bat,Right arm Offbreak
69,2020/2021,Lahore Qalandars,Tom Abell,Batting Allrounder,26y 311d,Right hand Bat,Right arm Medium
70,2020/2021,Lahore Qalandars,Joe Burns,Batter,31y 126d,Right hand Bat,"Right arm Medium, Right arm Offbreak"
71,2020/2021,Lahore Qalandars,Joe Denly,Top order Batter,34y 300d,Right hand Bat,Legbreak
72,2020/2021,Lahore Qalandars,Samit Patel,Allrounder,36y 41d,Right hand Bat,Slow Left arm Orthodox
73,2020/2021,Lahore Qalandars,Salman Mirza,Bowler,27y 9d,Right hand Bat,Left arm Medium fast
74,2020/2021,Lahore Qalandars,Shakib Al Hasan,Allrounder,33y 292d,Left hand Bat,Slow Left arm Orthodox
75,2020/2021,Lahore Qalandars,David Wiese,Allrounder,35y 237d,Right hand Bat,Right arm Medium fast
76,2020/2021,Peshawar Zalmi,Wahab Riaz(c),Bowler,35y 196d,Right hand Bat,Left arm Fast
77,2020/2021,Peshawar Zalmi,Shoaib Malik(vc),Allrounder,38y 344d,Right hand Bat,Right arm Offbreak
78,2020/2021,Peshawar Zalmi,Abrar Ahmed,Bowler,22y 86d,Right hand Bat,Legbreak Googly
79,2020/2021,Peshawar Zalmi,Fabian Allen,Bowling Allrounder,25y 248d,Right hand Bat,Slow Left arm Orthodox
80,2020/2021,Peshawar Zalmi,Amad Butt,Bowling Allrounder,25y 245d,Right hand Bat,Right arm Fast
81,2020/2021,Peshawar Zalmi,Bismillah Khan†,Wicketkeeper Batter,30y 315d,Right hand Bat,
82,2020/2021,Peshawar Zalmi,Fidel Edwards,Bowler,38y 339d,Right hand Bat,Right arm Fast
83,2020/2021,Peshawar Zalmi,Haider Ali,Middle order Batter,20y 100d,Right hand Bat,
84,2020/2021,Peshawar Zalmi,Hazratullah Zazai,Opening Batter,22y 293d,Left hand Bat,Slow Left arm Orthodox
85,2020/2021,Peshawar Zalmi,Imam-ul-Haq,Top order Batter,25y 19d,Left hand Bat,
86,2020/2021,Peshawar Zalmi,Kamran Akmal†,Wicketkeeper Batter,38y 363d,Right hand Bat,
87,2020/2021,Peshawar Zalmi,Khalid Usman,Bowling Allrounder,34y 315d,Right hand Bat,Slow Left arm Orthodox
88,2020/2021,Peshawar Zalmi,David Miller,Middle order Batter,31y 214d,Left hand Bat,Right arm Offbreak
89,2020/2021,Peshawar Zalmi,Mohammad Amir Khan,Bowler,19y 123d,Right hand Bat,Right arm Medium
90,2020/2021,Peshawar Zalmi,Mohammad Imran,Bowler,19y 356d,Right hand Bat,Left arm Medium fast
91,2020/2021,Peshawar Zalmi,Mohammad Imran,Allrounder,24y 16d,Right hand Bat,Right arm Medium
92,2020/2021,Peshawar Zalmi,Mohammad Irfan,Bowler,38y 218d,Right hand Bat,Left arm Fast
93,2020/2021,Peshawar Zalmi,Rovman Powell,Middle order Batter,27y 171d,Right hand Bat,Right arm Medium fast
94,2020/2021,Peshawar Zalmi,Sherfane Rutherford,Middle order Batter,22y 148d,Left hand Bat,Right arm Fast medium
95,2020/2021,Peshawar Zalmi,Sameen Gul,Bowler,21y 341d,Right hand Bat,Right arm Medium
96,2020/2021,Peshawar Zalmi,Umaid Asif,Bowling Allrounder,36y 255d,Right hand Bat,Right arm Medium fast
97,2020/2021,Peshawar Zalmi,Waqar Salamkheil,Bowler,19y 100d,Right hand Bat,Left arm Wrist spin
98,2020/2021,Peshawar Zalmi,Jonathan Wells,Middle order Batter,32y 150d,Right hand Bat,Right arm Medium
99,2020/2021,Peshawar Zalmi,Ravi Bopara,Batting Allrounder,35y 251d,Right hand Bat,Right arm Medium
100,2020/2021,Peshawar Zalmi,Tom Kohler-Cadmore,Batter,26y 144d,Right hand Bat,Right arm Offbreak
101,2020/2021,Peshawar Zalmi,Liam Livingstone,Batting Allrounder,27y 159d,Right hand Bat,Legbreak
102,2020/2021,Peshawar Zalmi,Saqib Mahmood,Bowler,23y 320d,Right hand Bat,Right arm Fast medium
103,2020/2021,Peshawar Zalmi,Mujeeb Ur Rahman,Bowler,19y 288d,Right hand Bat,Right arm Offbreak
104,2020/2021,Quetta Gladiators,Sarfaraz Ahmed(c),Wicketkeeper Batter,33y 233d,Right hand Bat,Right arm Offbreak
105,2020/2021,Quetta Gladiators,Mohammad Nawaz(vc),Allrounder,26y 295d,Left hand Bat,Slow Left arm Orthodox
106,2020/2021,Quetta Gladiators,Abdul Nasir,Allrounder,22y 16d,Right hand Bat,Right arm Offbreak
107,2020/2021,Quetta Gladiators,Arish Ali Khan,Bowler,20y 21d,Right hand Bat,Slow Left arm Orthodox
108,2020/2021,Quetta Gladiators,Azam Khan†,Wicketkeeper,22y 153d,Right hand Bat,
109,2020/2021,Quetta Gladiators,Cameron Delport,Top order Batter,31y 243d,Left hand Bat,Right arm Medium
110,2020/2021,Quetta Gladiators,Faf du Plessis,Middle order Batter,36y 181d,Right hand Bat,Legbreak
111,2020/2021,Quetta Gladiators,Hassan Khan,Bowler,22y 86d,Right hand Bat,Slow Left arm Orthodox
112,2020/2021,Quetta Gladiators,Khurram Shahzad,Bowler,21y 46d,Right hand Bat,Right arm Medium
113,2020/2021,Quetta Gladiators,Mohammad Hasnain,Bowler,20y 280d,Right hand Bat,Right arm Fast
114,2020/2021,Quetta Gladiators,Naseem Shah,Bowler,17y 330d,Right hand Bat,Right arm Fast
115,2020/2021,Quetta Gladiators,Saim Ayub,Top order Batter,18y 231d,Left hand Bat,Right arm Medium fast
116,2020/2021,Quetta Gladiators,Usman Khan,Top order Batter,25y 245d,Right hand Bat,Right arm Offbreak
117,2020/2021,Quetta Gladiators,Usman Shinwari,Bowler,27y 5d,Right hand Bat,Left arm Medium fast
118,2020/2021,Quetta Gladiators,Jake Weatherald,Top order Batter,26y 67d,Left hand Bat,Legbreak
119,2020/2021,Quetta Gladiators,Jack Wildermuth,Allrounder,27y 131d,Right hand Bat,Right arm Medium fast
120,2020/2021,Quetta Gladiators,Zahid Mahmood,Bowler,32y 296d,Right hand Bat,Legbreak
121,2020/2021,Quetta Gladiators,Zahir Khan,Bowler,22y 21d,Left hand Bat,Left arm Wrist spin
122,2020/2021,Quetta Gladiators,Zahoor Khan,Bowler,31y 230d,Right hand Bat,Right arm Medium fast
123,2020/2021,Quetta Gladiators,Anwar Ali,Bowler,33y 46d,Right hand Bat,Right arm Medium fast
124,2020/2021,Quetta Gladiators,Tom Banton,Opening Batter,22y 60d,Right hand Bat,
125,2020/2021,Quetta Gladiators,Ben Cutting,Allrounder,33y 346d,Right hand Bat,Right arm Fast medium
126,2020/2021,Quetta Gladiators,Chris Gayle,Allrounder,41y 111d,Left hand Bat,Right arm Offbreak
127,2020/2021,Quetta Gladiators,Qais Ahmad,Bowler,20y 148d,Right hand Bat,Legbreak
128,2020/2021,Quetta Gladiators,Andre Russell,Allrounder,32y 256d,Right hand Bat,Right arm Fast
129,2020/2021,Quetta Gladiators,Dale Steyn,Bowler,37y 197d,Right hand Bat,Right arm Fast
130,2020/2021,Multan Sultans,Mohammad Rizwan(c),Wicketkeeper Batter,28y 223d,Right hand Bat,
131,2020/2021,Multan Sultans,Asif Afridi,Bowling Allrounder,34y 16d,Left hand Bat,Slow Left arm Orthodox
132,2020/2021,Multan Sultans,Johnson Charles†,Wicketkeeper Batter,31y 362d,Right hand Bat,
133,2020/2021,Multan Sultans,Hammad Azam,Middle order Batter,29y 300d,Right hand Bat,Right arm Medium
134,2020/2021,Multan Sultans,Shimron Hetmyer,Top order Batter,24y 15d,Left hand Bat,
135,2020/2021,Multan Sultans,Imran Khan,Bowler,33y 179d,Right hand Bat,Right arm Medium fast
136,2020/2021,Multan Sultans,Imran Tahir,Bowler,41y 289d,Right hand Bat,Legbreak Googly
137,2020/2021,Multan Sultans,Khushdil Shah,Middle order Batter,25y 338d,Left hand Bat,Slow Left arm Orthodox
138,2020/2021,Multan Sultans,Mohammad Umar,Bowler,21y 14d,Right hand Bat,Right arm Medium
139,2020/2021,Multan Sultans,Muhammad Waseem,Opening Batter,26y 333d,Right hand Bat,Right arm Medium
140,2020/2021,Multan Sultans,Blessing Muzarabani,Bowler,24y 100d,Right hand Bat,Right arm Fast medium
141,2020/2021,Multan Sultans,Rahmanullah Gurbaz†,Wicketkeeper Batter,19y 43d,Right hand Bat,
142,2020/2021,Multan Sultans,Rilee Rossouw,Top order Batter,31y 93d,Left hand Bat,Right arm Offbreak
143,2020/2021,Multan Sultans,Shahnawaz Dahani,Bowler,22y 158d,Right hand Bat,Right arm Fast medium
144,2020/2021,Multan Sultans,Shan Masood,Opening Batter,31y 88d,Left hand Bat,Right arm Medium fast
145,2020/2021,Multan Sultans,Sohaib Maqsood,Middle order Batter,33y 270d,Right hand Bat,Right arm Offbreak
146,2020/2021,Multan Sultans,Sohaibullah,Bowler,24y 296d,Left hand Bat,Left arm Medium
147,2020/2021,Multan Sultans,Sohail Khan,Bowler,36y 310d,Right hand Bat,Right arm Fast medium
148,2020/2021,Multan Sultans,Sohail Tanvir,Bowler,36y 29d,Left hand Bat,Left arm Medium fast
149,2020/2021,Multan Sultans,Usman Qadir,Bowler,27y 153d,Left hand Bat,Legbreak
150,2020/2021,Multan Sultans,Carlos Brathwaite,Allrounder,32y 176d,Right hand Bat,Right arm Fast medium
151,2020/2021,Multan Sultans,George Linde,Allrounder,29y 37d,Left hand Bat,Slow Left arm Orthodox
152,2020/2021,Multan Sultans,Chris Lynn,Batter,30y 275d,Right hand Bat,Slow Left arm Orthodox
153,2020/2021,Multan Sultans,Adam Lyth,Batter,33y 107d,Left hand Bat,Right arm Offbreak
154,2020/2021,Multan Sultans,Mahmudullah,Allrounder,34y 341d,Right hand Bat,Right arm Offbreak
155,2020/2021,Multan Sultans,Obed McCoy,Bowler,24y 6d,Left hand Bat,Left arm Fast medium
156,2020/2021,Multan Sultans,Shahid Afridi,Allrounder,40y 315d,Right hand Bat,Legbreak Googly
157,2020/2021,Multan Sultans,James Vince,Batter,29y 302d,Right hand Bat,Right arm Medium
0,2021/2022,Islamabad United,Shadab Khan(c),Allrounder,23y 69d,Right hand Bat,Legbreak
1,2021/2022,Islamabad United,Asif Ali,Middle order Batter,30y 72d,Right hand Bat,Right arm Offbreak
2,2021/2022,Islamabad United,Athar Mahmood,Bowler,22y 170d,Right hand Bat,Right arm Fast medium
3,2021/2022,Islamabad United,Azam Khan†,Wicketkeeper,23y 124d,Right hand Bat,
4,2021/2022,Islamabad United,Danish Aziz,Allrounder,26y 22d,Left hand Bat,Slow Left arm Orthodox
5,2021/2022,Islamabad United,Marchant de Lange,Bowler,31y 60d,Right hand Bat,Right arm Fast
6,2021/2022,Islamabad United,Faheem Ashraf,Bowling Allrounder,27y 330d,Left hand Bat,Right arm Medium
7,2021/2022,Islamabad United,Alex Hales,Opening Batter,32y 343d,Right hand Bat,Right arm Medium
8,2021/2022,Islamabad United,Hasan Ali,Bowler,27y 163d,Right hand Bat,Right arm Medium fast
9,2021/2022,Islamabad United,Muhammad Hurraira,Batting Allrounder,19y 231d,Right hand Bat,
10,2021/2022,Islamabad United,Mohammad Wasim,Allrounder,20y 109d,Right hand Bat,Right arm Fast medium
11,2021/2022,Islamabad United,Mubasir Khan,Allrounder,19y 232d,Right hand Bat,Right arm Offbreak
12,2021/2022,Islamabad United,Muhammad Akhlaq†,Wicketkeeper Batter,29y 30d,Right hand Bat,Right arm Medium fast
13,2021/2022,Islamabad United,Muhammad Musa,Bowler,21y 106d,Right hand Bat,Right arm Fast medium
14,2021/2022,Islamabad United,Colin Munro,Opening Batter,34y 276d,Left hand Bat,Right arm Medium fast
15,2021/2022,Islamabad United,Rahmanullah Gurbaz†,Wicketkeeper Batter,20y 14d,Right hand Bat,
16,2021/2022,Islamabad United,Paul Stirling,Batting Allrounder,31y 100d,Right hand Bat,Right arm Offbreak
17,2021/2022,Islamabad United,Zafar Gohar,Bowler,26y 314d,Left hand Bat,Slow Left arm Orthodox
18,2021/2022,Islamabad United,Zahir Khan,Bowler,22y 357d,Left hand Bat,Left arm Wrist spin
19,2021/2022,Islamabad United,Zeeshan Zameer,Bowling Allrounder,19y 124d,Right hand Bat,Right arm Fast medium
20,2021/2022,Islamabad United,Reece Topley,Bowler,27y 294d,Right hand Bat,Left arm Fast medium
21,2021/2022,Karachi Kings,Babar Azam(c),Batter,27y 58d,Right hand Bat,Right arm Offbreak
22,2021/2022,Karachi Kings,Aamer Yamin,Allrounder,31y 169d,Right hand Bat,Right arm Medium
23,2021/2022,Karachi Kings,Joe Clarke,Top order Batter,25y 200d,Right hand Bat,
24,2021/2022,Karachi Kings,Ian Cockbain,Middle order Batter,34y 298d,Right hand Bat,Right arm Medium
25,2021/2022,Karachi Kings,Lewis Gregory,Allrounder,29y 202d,Right hand Bat,Right arm Medium fast
