,name,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,season,team
112,Umar Amin,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Islamabad United
112,Yasir Shah,4,4,12,0,112,3,28-Feb,37.33,9.33,24,0,0,2,0,2019/2020,Peshawar Zalmi
112,JM Vince,8,-,-,-,-,-,-,-,-,-,-,-,3,0,2018/2019,Multan Sultans
113,Usman Shinwari,3,3,12,0,83,2,28-Jan,41.5,6.91,36,0,0,0,0,2021/2022,Karachi Kings
113,Usman Khan,6,-,-,-,-,-,-,-,-,-,-,-,3,0,2020/2021,Quetta Gladiators
113,Zafar Gohar,3,3,10,0,62,5,31-Mar,12.4,6.2,12,0,0,1,0,2019/2020,Islamabad United
113,Wahab Riaz,13,13,49.5,0,338,17,17-Mar,19.88,6.78,17.5,0,0,5,0,2018/2019,Peshawar Zalmi
114,JM Vince,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Quetta Gladiators
114,Usman Qadir,4,4,15,0,108,4,22-Feb,27,7.2,22.5,0,0,1,0,2020/2021,Multan Sultans
114,Zahid Mahmood,1,1,2.5,0,26,0,-,-,9.17,-,0,0,0,0,2019/2020,Quetta Gladiators
114,CAK Walton,4,-,-,-,-,-,-,-,-,-,-,-,1,0,2018/2019,Islamabad United
115,Wahab Riaz,10,10,39,0,349,9,19-Feb,38.77,8.94,26,0,0,4,0,2021/2022,Peshawar Zalmi
115,Usman Shinwari,5,5,18,0,173,5,Mar-32,34.6,9.61,21.6,0,0,0,0,2020/2021,Quetta Gladiators
115,Zeeshan Ashraf,11,-,-,-,-,-,-,-,-,-,-,-,7,1,2019/2020,Multan Sultans
115,Waqas Maqsood,2,2,7.4,0,68,2,25-Jan,34,8.86,23,0,0,0,0,2018/2019,Islamabad United
116,Waqas Maqsood,8,8,30,0,282,12,Apr-35,23.5,9.4,15,1,0,2,0,2021/2022,Islamabad United
116,JM Vince,5,-,-,-,-,-,-,-,-,-,-,-,2,0,2020/2021,Multan Sultans
116,SR Watson,12,1,1,0,10,1,10-Jan,10,10,6,0,0,3,0,2018/2019,Quetta Gladiators
117,D Wiese,13,13,29.1,0,244,9,11-Feb,27.11,8.36,19.4,0,0,4,0,2021/2022,Lahore Qalandars
117,Wahab Riaz,12,12,47,2,422,18,17-Apr,23.44,8.97,15.6,1,0,1,0,2020/2021,Peshawar Zalmi
117,MH Wessels,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Lahore Qalandars
118,DJ Willey,8,8,25.3,0,208,13,22-Mar,16,8.15,11.7,0,0,4,0,2021/2022,Multan Sultans
118,CAK Walton,6,-,-,-,-,-,-,-,-,-,-,-,2,2,2020/2021,Karachi Kings
118,D Wiese,7,7,24,0,204,5,15-Jan,40.8,8.5,28.8,0,0,3,0,2018/2019,Lahore Qalandars
119,L Wood,1,1,4,0,45,1,Jan-45,45,11.25,24,0,0,0,0,2021/2022,Quetta Gladiators
119,Waqar Salamkheil,1,1,3,0,38,0,-,-,12.66,-,0,0,0,0,2020/2021,Peshawar Zalmi
119,Yasir Shah,5,5,17.1,0,136,3,31-Jan,45.33,7.92,34.3,0,0,1,0,2018/2019,Lahore Qalandars
120,Yasir Khan,4,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Peshawar Zalmi
120,Waqas Maqsood,7,7,20.3,0,192,7,21-Feb,27.42,9.36,17.5,0,0,1,0,2020/2021,Karachi Kings
120,Zafar Gohar,2,2,7,0,58,3,Feb-30,19.33,8.28,14,0,0,0,0,2018/2019,Islamabad United
121,Zafar Gohar,1,1,3,0,21,0,-,-,7,-,0,0,0,0,2021/2022,Islamabad United
121,J Weatherald,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2020/2021,Quetta Gladiators
122,Zahid Mahmood,2,2,7,0,49,1,20-Jan,49,7,42,0,0,0,0,2021/2022,Islamabad United
122,JW Wells,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Peshawar Zalmi
123,Zahir Khan,2,2,7,0,67,2,Jan-32,33.5,9.57,21,0,0,1,0,2021/2022,Islamabad United
123,D Wiese,4,4,11,0,102,2,30-Jan,51,9.27,33,0,0,0,0,2020/2021,Lahore Qalandars
124,Zaman Khan,13,13,46.5,2,387,18,16-Apr,21.5,8.26,15.6,1,0,3,0,2021/2022,Lahore Qalandars
124,JD Wildermuth,2,2,4,0,65,0,-,-,16.25,-,0,0,0,0,2020/2021,Quetta Gladiators
125,Zeeshan Ashraf,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Lahore Qalandars
125,Zafar Gohar,3,3,7,0,100,0,-,-,14.28,-,0,0,1,0,2020/2021,Islamabad United
126,Zeeshan Zameer,2,2,2.3,0,17,1,10-Jan,17,6.8,15,0,0,0,0,2021/2022,Islamabad United
126,Zahid Mahmood,6,6,20,0,217,6,Feb-29,36.16,10.85,20,0,0,0,0,2020/2021,Quetta Gladiators
127,Zahir Khan,2,2,8,0,56,1,25-Jan,56,7,48,0,0,1,0,2020/2021,Quetta Gladiators
128,Zahoor Khan,1,1,1,0,23,0,-,-,23,-,0,0,0,0,2020/2021,Quetta Gladiators
129,Zeeshan Ashraf,3,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Lahore Qalandars
