,name,matches,innings,not_out,runs,high_score,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,season,team
60,DA Miller,3,3,0,116,73,38.66,83,139.75,0,1,0,10,5,2020/2021,Peshawar Zalmi
61,Mohammad Amir,11,3,1,8,7*,4.00,6,133.33,0,0,1,1,0,2020/2021,Karachi Kings
62,Mohammad Hafeez,10,10,2,271,73*,33.87,196,138.26,0,2,0,22,14,2020/2021,Lahore Qalandars
63,Mohammad Hasnain,9,4,2,5,4,2.50,11,45.45,0,0,1,1,0,2020/2021,Quetta Gladiators
64,Mohammad Ilyas,5,3,2,9,4*,9.00,9,100.00,0,0,0,0,0,2020/2021,Karachi Kings
65,Mohammad Imran,11,2,1,1,1*,1.00,3,33.33,0,0,1,0,0,2020/2021,Peshawar Zalmi
66,Mohammad Irfan,10,1,1,0,0*,-,5,0.00,0,0,0,0,0,2020/2021,Peshawar Zalmi
67,Mohammad Nabi,5,5,2,174,67,58.00,97,179.38,0,2,0,16,11,2020/2021,Karachi Kings
68,Mohammad Nawaz,9,9,2,109,33*,15.57,88,123.86,0,0,1,9,4,2020/2021,Quetta Gladiators
69,Mohammad Rizwan,12,12,1,500,82*,45.45,391,127.87,0,4,1,56,10,2020/2021,Multan Sultans
70,Mohammad Umar,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2020/2021,Multan Sultans
71,Mohammad Wasim,11,6,4,45,17*,22.50,30,150.00,0,0,0,2,4,2020/2021,Islamabad United
72,Muhammad Akhlaq,5,4,0,44,26,11.00,31,141.93,0,0,0,6,2,2020/2021,Islamabad United
73,Muhammad Faizan,2,2,0,17,9,8.50,33,51.51,0,0,0,1,0,2020/2021,Lahore Qalandars
74,Muhammad Musa,3,1,1,0,0*,-,0,-,0,0,0,0,0,2020/2021,Islamabad United
75,Mujeeb Ur Rahman,4,1,1,0,0*,-,0,-,0,0,0,0,0,2020/2021,Peshawar Zalmi
76,C Munro,7,7,2,285,90*,57.00,168,169.64,0,2,1,37,11,2020/2021,Islamabad United
77,B Muzarabani,6,2,0,0,0,0.00,5,0.00,0,0,2,0,0,2020/2021,Multan Sultans
78,Najibullah Zadran,5,5,1,111,71*,27.75,89,124.71,0,1,1,6,6,2020/2021,Karachi Kings
79,Naseem Shah,4,1,1,1,1*,-,4,25.00,0,0,0,0,0,2020/2021,Quetta Gladiators
80,Noor Ahmad,4,1,1,0,0*,-,0,-,0,0,0,0,0,2020/2021,Karachi Kings
