Player_bowling_id,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,Season_Id,Team_Id,Name,Player_Id
572,6,6,17,0,160,3,44941,53.33,9.41,34,0,0,1,0,7,1,"Rumman Raees",12
573,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,6,1,"Rilee Rossouw",130
574,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,5,1,"Shan Masood",224
575,12,12,47,0,347,11,44977,31.54,7.38,25.6,0,0,5,0,4,4,"Shadab Khan",91
576,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,3,6,"Lendl Simmons",28
577,10,10,40,1,289,9,47150,32.11,7.22,26.6,0,0,5,0,2,5,"Zulfiqar Babar",82
578,10,10,40,1,289,9,47150,32.11,7.22,26.6,0,0,5,0,1,5,"Zulfiqar Babar",82
579,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,7,3,"Sherfane Rutherford",234
580,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,6,5,"Andre Russell",13
581,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,6,"Sharjeel Khan",14
582,8,8,28,1,239,10,45002,23.9,8.48,16.9,0,0,0,0,4,2,"Shaheen Shah",151
583,10,3,1,0,20,0,NULL,NULL,12,NULL,0,0,2,0,3,3,"Dwayne Smith",92
584,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,7,6,"Sahibzada Farhan",137
585,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,6,3,"Sherfane Rutherford",234
586,9,5,11,0,88,0,NULL,NULL,8,NULL,0,0,3,0,5,3,"Shoaib Malik",17
587,8,8,25,0,173,10,44975,17.3,6.74,15.4,0,0,2,0,4,1,"Shahid Afridi",62
588,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0,3,1,"Sohaib Maqsood",43
589,8,8,32,0,264,15,45014,17.6,8.25,12.8,0,0,0,0,7,3,"Salman Irshad",150
590,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,6,5,"Saim Ayub",306
591,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,3,"Sohaib Maqsood",43
592,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4,1,"Shakeel Ansar",223
593,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,3,2,"Sohail Akhtar",152
594,2,2,6,0,62,2,12816,31,10.33,18,0,0,0,0,6,2,"Salman Mirza",296
595,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,5,2,"Sohail Akhtar",152
596,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,4,1,"Shan Masood",224
597,7,7,25,0,226,8,12479,28.25,8.8,19.2,0,0,1,0,3,2,"Sohail Khan",29
598,1,1,4,0,41,2,15008,20.5,10.25,12,0,0,1,0,7,3,"Sameen Gul",159
599,8,7,25,0,235,7,44978,33.57,9.33,21.5,0,0,1,0,5,5,"Sohail Khan",29
