Player_Id,Name,Role,Batting_style,Bowling_style
243,"Dane Vilas ","Wicketkeeper Batter","Right hand Bat",
245,"Aamir Ali",,"Left hand Bat","Slow Left arm Orthodox"
246,"Adil Amin",,"Right hand Bat","Right arm Offbreak"
247,"Tom Banton","Opening Batter","Right hand Bat",
248,"Faf du","Middle order Batter","Right hand Bat",Legbreak
249,"Lewis Gregory",Allrounder,"Right hand Bat","Right arm Medium fast"
250,"Haider Ali","Middle order Batter","Right hand Bat",
251,"Imam-ul-Haq ","Top order Batter","Left hand Bat",
252,"Khurram Shahzad",Bowler,"Right hand Bat","Right arm Medium"
253,"Saqib Mahmood",Bowler,"Right hand Bat","Right arm Fast medium"
254,"Mohammad Mohsin","Bowling Allrounder","Left hand Bat","Legbreak Googly"
255,"Mohammad Amir",Bowler,"Right hand Bat","Right arm Medium"
256,"Dwaine Pretorius","Bowling Allrounder","Right hand Bat","Right arm Medium fast"
258,"Abdul Nasir",Allrounder,"Right hand Bat","Right arm Offbreak"
