Player_team_id,Season_Id,Team_Id,age,Player_id
485,5,6,"22y 147d",235
486,5,6,"33y 178d",147
487,5,6,"34y 244d",236
488,5,2,"33y 279d",237
489,5,2,"26y 289d",238
490,5,2,"32y 270d",182
491,5,2,"29y 240d",107
492,5,2,"26y 29d",196
493,5,2,"24y 276d",183
494,5,2,"29y 240d",146
495,5,2,"39y 50d",59
496,5,2,"22y 213d",239
497,5,2,"35y 6d",121
498,5,2,"34y 162d",240
499,5,2,"24y 208d",241
500,5,2,"35y 60d",242
501,5,2,"19y 244d",151
502,5,2,"30y 261d",65
503,5,2,"25y 335d",104
504,5,2,"34y 179d",243
505,5,2,"34y 202d",143
506,5,2,"34y 315d",28
507,5,3,"34y 161d",244
508,5,3,"17y 215d",245
509,5,3,"28y 358d",246
510,5,3,"21y 25d",247
511,5,3,"31y 141d",193
512,5,3,"29y 280d",153
513,5,3,"35y 146d",248
514,5,3,"27y 196d",249
515,5,3,"19y 65d",250
516,5,3,"25y 157d",53
517,5,3,"23y 349d",251
518,5,3,"37y 327d",56
519,5,3,"20y 11d",252
520,5,3,"26y 124d",184
521,5,3,"22y 284d",253
522,5,3,"23y 235d",254
523,5,3,"31y 85d",101
524,5,3,"37y 308d",103
525,5,3,"32y 235d",43
526,5,3,"30y 51d",15
527,5,3,"30y 275d",201
528,5,3,"18y 88d",255
529,5,3,"32y 208d",100
530,5,3,"30y 252d",256
531,5,3,"35y 351d",61
532,5,5,"32y 198d",68
533,5,5,"38y 172d",257
534,5,5,"20y 346d",258
535,5,5,"28y 13d",69
536,5,5,"25y 361d",206
537,5,5,"18y 351d",259
538,5,5,"21y 118d",165
539,5,5,"32y 310d",260
540,5,5,"37y 304d",208
541,5,5,"33y 179d",98
542,5,5,"27y 116d",127
543,5,5,"19y 245d",211
544,5,5,"25y 260d",77
545,5,5,"16y 294d",212
546,5,5,"21y 288d",261
547,5,5,"29y 138d",112
548,5,5,"35y 275d",29
549,5,5,"29y 194d",44
550,5,1,"30y 53d",262
551,5,1,"32y 171d",263
552,5,1,"23y 20d",213
553,5,1,"24y 213d",264
554,5,1,"28y 80d",18
555,5,1,"34y 216d",19
556,5,1,"33y 265d",139
557,5,1,"40y 254d",265
558,5,1,"29y 347d",55
559,5,1,"24y 302d",119
560,5,1,"32y 72d",266
561,5,1,"35y 338d",203
562,5,1,"20y 260d",218
563,5,1,"37y 183d",10
564,5,1,"18y 57d",135
565,5,1,"30y 58d",130
566,5,1,"39y 280d",62
567,5,1,"34y 359d",30
568,5,1,"33y 303d",199
569,5,1,"26y 118d",114
570,5,1,"27y 209d",267
571,5,1,"28y 267d",32
572,6,4,"22y 98d",227
573,6,4,"22y 315d",228
574,6,4,"20y 92d",229
575,6,4,"30y 28d",232
576,6,4,"29y 101d",85
577,6,4,"26y 360d",132
578,6,4,"38y 340d",208
579,6,4,"24y 333d",88
580,6,4,"30y 129d",20
581,6,4,"34y 23d",268
582,6,4,"26y 25d",269
583,6,4,"19y 138d",270
584,6,4,"28y 59d",271
585,6,4,"20y 135d",172
586,6,4,"33y 305d",185
587,6,4,"19y 92d",135
588,6,4,"31y 86d",15
589,6,4,"25y 344d",46
590,6,4,"18y 153d",272
591,6,4,"28y 231d",249
592,6,4,"32y 7d",133
593,6,4,"26y 192d",53
594,6,4,"32y 98d",67
595,6,4,"24y 267d",273
596,6,4,"24y 135d",176
597,6,4,"30y 129d",274
598,6,4,"26y 324d",275
599,6,6,"32y 23d",179
600,6,6,"26y 87d",276
601,6,6,"30y 198d",49
602,6,6,"19y 280d",277
603,6,6,"20y 15d",233
604,6,6,"25y 51d",207
605,6,6,"34y 102d",278
606,6,6,"28y 272d",23
607,6,6,"19y 286d",279
608,6,6,"21y 295d",218
609,6,6,"27y 317d",280
610,6,6,"16y 7d",281
611,6,6,"31y 282d",129
612,6,6,"18y 40d",282
613,6,6,"31y 149d",14
614,6,6,"35y 191d",138
615,6,6,"33y 67d",177
616,6,6,"24y 15d",283
617,6,6,"37y 251d",215
618,6,6,"24y 229d",284
619,6,6,"35y 191d",140
620,6,6,"26y 89d",285
621,6,6,"36y 9d",76
622,6,2,"34y 314d",237
623,6,2,"20y 279d",286
624,6,2,"27y 48d",190
625,6,2,"23y 191d",287
626,6,2,"24y 300d",288
627,6,2,"27y 325d",238
628,6,2,"33y 305d",182
629,6,2,"30y 275d",107
630,6,2,"30y 256d",289
631,6,2,"36y 50d",290
632,6,2,"27y 64d",196
633,6,2,"22y 332d",291
634,6,2,"40y 85d",59
635,6,2,"23y 248d",239
636,6,2,"21y 17d",292
637,6,2,"35y 197d",240
638,6,2,"22y 112d",167
639,6,2,"31y 91d",293
640,6,2,"28y 244d",267
641,6,2,"26y 311d",294
642,6,2,"31y 126d",295
643,6,2,"34y 300d",139
644,6,2,"36y 41d",121
645,6,2,"27y 9d",296
646,6,2,"33y 292d",27
647,6,2,"35y 237d",143
648,6,3,"35y 196d",244
649,6,3,"38y 344d",297
650,6,3,"22y 86d",94
651,6,3,"25y 248d",264
652,6,3,"25y 245d",1
653,6,3,"30y 315d",74
654,6,3,"38y 339d",298
655,6,3,"20y 100d",250
656,6,3,"22y 293d",299
657,6,3,"25y 19d",251
658,6,3,"38y 363d",56
659,6,3,"34y 315d",155
660,6,3,"31y 214d",300
661,6,3,"19y 123d",255
662,6,3,"19y 356d",198
663,6,3,"24y 16d",198
664,6,3,"38y 218d",10
665,6,3,"27y 171d",301
666,6,3,"22y 148d",234
667,6,3,"21y 341d",159
668,6,3,"36y 255d",161
669,6,3,"19y 100d",205
670,6,3,"32y 150d",302
671,6,3,"35y 251d",19
672,6,3,"26y 144d",303
673,6,3,"27y 159d",184
674,6,3,"23y 320d",253
675,6,3,"19y 288d",304
676,6,5,"33y 233d",123
677,6,5,"26y 295d",305
678,6,5,"22y 16d",258
679,6,5,"20y 21d",259
680,6,5,"22y 153d",165
681,6,5,"31y 243d",37
682,6,5,"36y 181d",248
683,6,5,"22y 86d",124
684,6,5,"21y 46d",252
685,6,5,"20y 280d",211
686,6,5,"17y 330d",212
687,6,5,"18y 231d",306
688,6,5,"25y 245d",307
689,6,5,"27y 5d",104
690,6,5,"26y 67d",308
691,6,5,"27y 131d",309
692,6,5,"32y 296d",310
693,6,5,"22y 21d",178
694,6,5,"31y 230d",311
695,6,5,"33y 46d",71
696,6,5,"22y 60d",247
697,6,5,"33y 346d",260
698,6,5,"41y 111d",38
699,6,5,"20y 148d",222
700,6,5,"32y 256d",13
701,6,5,"37y 197d",230
702,6,1,"28y 223d",312
703,6,1,"34y 16d",313
704,6,1,"31y 362d",214
705,6,1,"29y 300d",39
706,6,1,"24y 15d",314
707,6,1,"33y 179d",54
708,6,1,"41y 289d",265
709,6,1,"25y 338d",119
710,6,1,"21y 14d",315
711,6,1,"26y 333d",316
712,6,1,"24y 100d",317
713,6,1,"19y 43d",318
714,6,1,"31y 93d",130
715,6,1,"22y 158d",319
716,6,1,"31y 88d",224
717,6,1,"33y 270d",43
718,6,1,"24y 296d",320
719,6,1,"36y 310d",29
720,6,1,"36y 29d",30
721,6,1,"27y 153d",114
722,6,1,"32y 176d",193
723,6,1,"29y 37d",321
724,6,1,"30y 275d",146
725,6,1,"33y 107d",266
726,6,1,"34y 341d",125
727,6,1,"24y 6d",322
728,6,1,"40y 315d",62
729,6,1,"29y 302d",32
730,7,4,"23y 69d",227
731,7,4,"30y 72d",85
732,7,4,"22y 170d",323
733,7,4,"23y 124d",165
734,7,4,"26y 22d",207
735,7,4,"31y 60d",324
736,7,4,"27y 330d",132
737,7,4,"32y 343d",133
738,7,4,"27y 163d",53
739,7,4,"19y 231d",325
740,7,4,"20y 109d",270
741,7,4,"19y 232d",326
742,7,4,"29y 30d",271
743,7,4,"21y 106d",172
744,7,4,"34y 276d",185
745,7,4,"20y 14d",318
746,7,4,"31y 100d",274
747,7,4,"26y 314d",46
748,7,4,"22y 357d",178
749,7,4,"19y 124d",272
750,7,4,"27y 294d",275
751,7,6,"27y 58d",327
752,7,6,"31y 169d",49
753,7,6,"25y 200d",284
754,7,6,"34y 298d",328
755,7,6,"29y 202d",249
756,7,6,"32y 359d",21
757,7,6,"21y 193d",329
758,7,6,"29y 243d",23
759,7,6,"22y 266d",218
760,7,6,"20y 326d",198
761,7,6,"36y 345d",76
762,7,6,"21y 216d",141
763,7,6,"19y 11d",282
764,7,6,"20y 63d",135
765,7,6,"25y 281d",137
766,7,6,"32y 120d",14
767,7,6,"18y 51d",330
768,7,6,"25y 64d",331
769,7,6,"37y 226d",161
770,7,6,"27y 282d",294
771,7,6,"18y 114d",332
772,7,6,"33y 69d",67
773,7,6,"27y 16d",333
774,7,2,"21y 250d",334
775,7,2,"22y 22d",335
776,7,2,"24y 162d",287
777,7,2,"21y 63d",229
778,7,2,"22y 293d",336
779,7,2,"34y 276d",182
780,7,2,"31y 246d",107
781,7,2,"23y 236d",337
782,7,2,"28y 35d",196
783,7,2,"26y 63d",7
784,7,2,"23y 302d",291
785,7,2,"41y 56d",59
786,7,2,"24y 352d",198
787,7,2,"37y 12d",121
788,7,2,"23y 44d",338
789,7,2,"23y 83d",167
790,7,2,"25y 106d",176
791,7,2,"35y 285d",152
792,7,2,"20y 211d",339
793,7,2,"36y 208d",143
794,7,2,"20y 93d",340
795,7,2,"29y 215d",267
796,7,3,"36y 167d",244
797,7,3,"20y 357d",259
798,7,3,"20y 351d",233
799,7,3,"23y 111d",341
800,7,3,"34y 316d",260
801,7,3,"21y 71d",250
802,7,3,"23y 264d",299
803,7,3,"25y 303d",88
804,7,3,"39y 333d",56
805,7,3,"27y 115d",303
806,7,3,"28y 130d",184
807,7,3,"24y 290d",253
808,7,3,"20y 257d",279
809,7,3,"21y 350d",315
810,7,3,"25y 49d",342
811,7,3,"23y 119d",234
812,7,3,"26y 9d",150
813,7,3,"22y 311d",159
814,7,3,"39y 314d",103
815,7,3,"not given",343
816,7,3,"37y 281d",29
817,7,3,"28y 124d",114
818,7,3,"20y 94d",255
819,7,5,"34y 204d",68
820,7,5,"18y 283d",344
821,7,5,"28y 2d",206
822,7,5,"23y 290d",180
823,7,5,"20y 122d",345
824,7,5,"27y 56d",86
825,7,5,"31y 227d",289
826,7,5,"22y 49d",109
