Player_batting_id,Player_Id,Name,matches,innings,not_out,runs,high_score,high_score_return,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,Season_Id,Team_Id,high_score_description
119,132,"Faheem Ashraf",2,1,0,7,7,No,7,5,140,0,0,0,1,0,7,2,NULL
120,272,"Zeeshan Zameer",2,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,4,NULL
121,49,"Aamer Yamin",4,1,0,0,0,No,0,2,0,0,0,1,0,0,6,6,NULL
122,277,"Abbas Afridi",4,1,1,27,27,Yes,NULL,18,150,0,0,0,1,3,6,6,NULL
123,258,"Abdul Nasir",1,1,0,0,0,No,0,2,0,0,0,1,0,0,6,5,NULL
124,94,"Abrar Ahmed",2,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,3,NULL
125,190,"Agha Salman",4,3,0,35,21,No,11.66,33,106.06,0,0,0,5,0,6,2,NULL
126,287,"Ahmed Daniyal",10,4,2,10,6,Yes,5,20,50,0,0,1,1,0,6,2,NULL
127,229,"Akif Javed",5,2,2,0,0,Yes,NULL,1,0,0,0,0,0,0,6,4,NULL
128,232,"Ali Khan",3,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,4,NULL
129,264,"Fabian Allen",3,3,1,3,3,No,1.5,6,50,0,0,1,0,0,6,3,NULL
130,1,"Amad Butt",4,3,2,57,27,Yes,57,24,237.5,0,0,0,5,4,6,3,NULL
131,71,"Anwar Ali",1,1,1,1,1,Yes,NULL,1,100,0,0,0,0,0,6,5,NULL
132,34,"Azhar Ali",1,NULL," ",NULL,NULL,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,5,NULL
133,233,"Arshad Iqbal",9,1,1,0,0,Yes,NULL,1,0,0,0,0,0,0,6,6,NULL
134,85,"Asif Ali",12,10,2,224,75,No,28,134,167.16,0,1,0,15,18,6,4,NULL
135,14,"Sharjeel Khan",10,10,0,174,47,No,17.4,130,133.84,0,0,1,18,7,6,5,NULL
136,2,"Babar Azam",11,11,3,554,90,Yes,69.25,418,132.53,0,7,1,56,12,6,6,NULL
137,247,"Tom Banton",2,2,0,9,5,No,4.5,11,81.81,0,0,0,1,0,6,5,NULL
138,19,"Ravi Bopara",2,2,1,108,58,Yes,108,84,128.57,0,2,0,12,1,6,3,NULL
139,193,"Carlos Brathwaite",5,3,2,29,22,Yes,29,20,145,0,0,0,3,1,6,1,NULL
140,215,"Dan Christian",5,3,2,55,27,No,55,28,196.42,0,0,0,9,1,6,6,NULL
141,284,"Joe Clarke",5,4,0,121,54,No,30.25,69,175.36,0,1,0,14,7,6,6,NULL
142,260,"Ben Cutting",5,5,0,49,23,No,9.8,45,108.88,0,0,1,5,1,6,5,NULL
143,207,"Danish Aziz",3,3,1,74,45,No,37,35,211.42,0,0,0,3,7,6,6,NULL
144,288,"Tim David",6,6,2,180,64,Yes,45,108,166.66,0,1,0,11,12,6,2,NULL
145,37,"Cameron Delport",5,5,0,13,10,No,2.6,22,59.09,0,0,2,1,0,6,5,NULL
146,139,"Joe Denly",2,2,0,31,31,No,15.5,30,103.33,0,0,1,2,2,6,2,NULL
147,248,"Faf du",5,4,0,76,37,No,19,62,122.58,0,0,0,8,1,6,5,NULL
148,132,"Faheem Ashraf",8,6,0,77,27,No,12.83,63,122.22,0,0,1,6,4,6,4,NULL
149,107,"Fakhar Zaman",10,10,1,287,83,No,31.88,237,121.09,0,2,0,26,11,6,2,NULL
150,289,"James Faulkner",6,5,1,90,33,No,22.5,53,169.81,0,0,0,4,7,6,2,NULL
151,208,"Fawad Ahmed",5,2,2,4,4,Yes,NULL,6,66.66,0,0,0,0,0,6,4,NULL
152,38,"Chris Gayle",2,2,0,107,68,No,53.5,64,167.18,0,1,0,9,7,6,5,NULL
153,249,"Lewis Gregory",2,1,1,49,49,Yes,NULL,31,158.06,0,0,0,6,1,6,4,NULL
154,278,"Martin Guptill",6,6,0,69,43,No,11.5,66,104.54,0,0,1,6,3,6,6,NULL
155,250,"Haider Ali",9,9,1,166,50,No,20.75,121,137.19,0,1,2,16,8,6,3,NULL
156,133,"Alex Hales",4,4,0,139,46,No,34.75,81,171.6,0,0,0,20,4,6,4,NULL
157,39,"Hammad Azam",1,1,0,9,9,No,9,16,56.25,0,0,0,0,0,6,1,NULL
158,196,"Haris Rauf",9,3,0,37,19,No,12.33,20,185,0,0,0,2,3,6,2,NULL
159,53,"Hasan Ali",10,4,0,76,45,No,19,40,190,0,0,0,7,4,6,4,NULL
160,124,"Hassan Khan",3,3,1,36,24,No,18,32,112.5,0,0,1,4,0,6,5,NULL
161,299,"Hazratullah Zazai",5,5,0,212,77,No,42.4,114,185.96,0,3,1,24,14,6,3,NULL
162,314,"Shimron Hetmyer",2,1,0,7,7,No,7,9,77.77,0,0,0,0,0,6,1,NULL
163,88,"Hussain Talat",11,8,1,156,42,No,22.28,151,103.31,0,0,0,13,1,6,4,NULL
164,20,"Iftikhar Ahmed",12,9,3,221,71,Yes,36.83,179,123.46,0,1,0,16,9,6,4,NULL
165,21,"Imad Wasim",11,6,1,68,30,Yes,13.6,65,104.61,0,0,2,5,2,6,6,NULL
166,251,"Imam-ul-Haq ",6,6,0,107,48,No,17.83,98,109.18,0,0,2,10,1,6,3,NULL
167,54,"Imran Khan",7,2,2,3,3,Yes,NULL,4,75,0,0,0,0,0,6,1,NULL
168,265,"Imran Tahir",7,2,0,18,14,No,9,10,180,0,0,0,2,1,6,1,NULL
169,140,"Colin Ingram",5,4,1,26,17,Yes,8.66,39,66.66,0,0,1,2,0,6,6,NULL
170,44,"Umar Akmal",13,13,0,283,59,No,21.76,219,129.22,0,2,0,39,7,6,3,NULL
171,155,"Khalid Usman",1,1,0,17,17,No,17,14,121.42,0,0,0,1,1,6,3,NULL
172,268,"Usman Khawaja",7,7,2,246,105,Yes,49.2,161,152.79,1,1,1,31,5,6,4,NULL
173,252,"Khurram Shahzad",5,3,0,12,11,No,4,27,44.44,0,0,1,0,0,6,5,NULL
174,119,"Khushdil Shah",11,9,5,165,44,Yes,41.25,120,137.5,0,0,0,7,10,6,1,NULL
175,269,"Brandon King",3,3,1,69,46,Yes,34.5,45,153.33,0,0,0,7,4,6,4,NULL
176,303,"Tom Kohler-Cadmore",4,4,0,113,53,No,28.25,93,121.5,0,1,0,11,4,6,3,NULL
177,146,"Chris Lynn",4,4,0,34,32,No,8.5,25,136,0,0,1,6,1,6,1,NULL
178,253,"Saqib Mahmood",5,1,0,0,0,No,0,1,0,0,0,1,0,0,6,3,NULL
179,300,"David Miller",3,3,0,116,73,No,38.66,83,139.75,0,1,0,10,5,6,3,NULL
180,23,"Mohammad Amir",11,3,1,8,7,Yes,4,6,133.33,0,0,1,1,0,6,6,NULL
